#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|              random_mt19937.bin|  8.33e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.95424824|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.99068535|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.90309322|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.03345888|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.29849918|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.78165663|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.83736832|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.72283498|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.56504262|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.93399696|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.15486071|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.08513838|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.98581616|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.13445951|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.68331675|  PASSED  
             dab_dct| 256|     50000|       1|0.03664970|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.41362788|  PASSED  
        dab_filltree|  32|  15000000|       1|0.30556535|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.28790797|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.67465512|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.56758668|  PASSED  
