#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|              random_secrets.bin|  6.82e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.14473601|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.32675476|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.11116188|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.00002432|   WEAK   
      rgb_lagged_sum|  24|   1000000|     100|0.40450264|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.32752870|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.57572543|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.07246683|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.37681780|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.68991704|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.84006941|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.00000000|  FAILED  
      rgb_lagged_sum|  32|   1000000|     100|0.08843291|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.38054225|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.83622574|  PASSED  
             dab_dct| 256|     50000|       1|0.21657032|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.37569540|  PASSED  
        dab_filltree|  32|  15000000|       1|0.36233780|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.46288432|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.80978843|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.36576895|  PASSED  
